#g126emersonQYield.png Tuesday 14-Feb-2012 4:31:23 PM
422.4934, 0.0673
435.2255, 0.0545
441.1671, 0.0513
441.5915, 0.0496
443.0769, 0.0482
462.8117, 0.0308
462.3873, 0.0244
483.183, 0.0233
503.13, 0.0262
503.13, 0.0284
523.2891, 0.0375
523.2891, 0.0385
523.2891, 0.0397
533.0504, 0.0433
543.2361, 0.0427
537.931, 0.0528
542.5995, 0.061
551.9363, 0.0691
554.695, 0.0691
563.3952, 0.0725
567.8515, 0.0759
572.5199, 0.0753
584.191, 0.0772
567.6393, 0.0785
602.4403, 0.0714
602.8647, 0.0795
622.3873, 0.078
629.6021, 0.079
652.0955, 0.0816
662.7056, 0.0705
671.8302, 0.0853
672.0424, 0.0887
682.4403, 0.0855
686.8966, 0.088
692.626, 0.0808
697.0822, 0.0776
